pair,actual_x,actual_y,predicted_x,predicted_y,error,success,raw_score,edge_score,gradient_score,projection_score,combined_score,confidence,scale,angle,second_score,score_margin,uniqueness,candidate_count,recovery_used,consensus_support,consensus_score,ambiguous,weak_match,failure_class
pair_001,226,837,227,838,1.4142,1,0.700358,0.436383,0.15117,0.934135,0.584481,0.584481,0.98,1.0,0.453593,0.130888,0.223938,20,0,0,0.584481,0,0,SUCCESS
pair_002,580,178,580,178,0.0,1,0.826323,0.707443,0.172634,0.937401,0.694025,0.649843,0.985,-1.0,0.573284,0.076559,0.117811,20,1,8,0.661843,1,0,SUCCESS
pair_003,529,861,528,860,1.4142,1,0.735157,0.451968,0.142439,0.950034,0.602951,0.602951,1.06,-2.0,0.473459,0.129493,0.214765,20,0,0,0.602951,0,0,SUCCESS
pair_004,425,701,424,701,1.0,1,0.773407,0.428599,0.144029,0.953077,0.614503,0.614503,1.02,1.0,0.502711,0.111793,0.181924,20,0,0,0.614503,0,0,SUCCESS
pair_005,672,162,672,163,1.0,1,0.748344,0.479715,0.151893,0.975547,0.620769,0.620769,1.0,-2.0,0.527819,0.092949,0.149733,20,0,0,0.620769,0,0,SUCCESS
pair_006,93,706,93,707,1.0,1,0.717277,0.447544,0.146326,0.970189,0.599723,0.599723,1.0,-2.0,0.463884,0.135838,0.226502,20,0,0,0.599723,0,0,SUCCESS
pair_007,412,692,412,692,0.0,1,0.811643,0.656609,0.16826,0.962033,0.682037,0.682037,1.06,2.0,0.509451,0.172587,0.253046,20,0,0,0.682037,0,0,SUCCESS
pair_008,878,105,878,105,0.0,1,0.808383,0.69209,0.166614,0.946824,0.684459,0.684459,0.94,-1.0,0.490049,0.19441,0.284035,20,0,0,0.684459,0,0,SUCCESS
pair_009,535,34,535,34,0.0,1,0.851196,0.704991,0.16777,0.96313,0.707657,0.707657,1.04,1.0,0.510296,0.197361,0.278893,20,0,0,0.707657,0,0,SUCCESS
pair_010,796,575,796,576,1.0,1,0.738331,0.432723,0.141522,0.941888,0.598559,0.598559,0.96,-1.0,0.4917,0.10686,0.178528,20,0,0,0.598559,0,0,SUCCESS
pair_011,545,197,545,197,0.0,1,0.796053,0.630104,0.156917,0.960256,0.667876,0.619412,1.005,-1.5,0.470089,0.149323,0.241072,20,1,8,0.631412,0,1,SUCCESS
pair_012,810,661,810,661,0.0,1,0.750914,0.605984,0.170347,0.936227,0.642877,0.597337,1.045,-1.5,0.437878,0.159459,0.266949,20,1,8,0.609337,0,1,SUCCESS
pair_013,375,487,375,486,1.0,1,0.691371,0.484411,0.148114,0.936121,0.590278,0.590278,0.96,0.0,0.498483,0.091795,0.155511,20,0,0,0.590278,0,0,SUCCESS
pair_014,402,776,402,776,0.0,1,0.868472,0.735775,0.168295,0.962457,0.720694,0.720694,1.0,-1.0,0.498475,0.222219,0.30834,20,0,0,0.720694,0,0,SUCCESS
pair_015,616,47,616,47,0.0,1,0.765345,0.5606,0.16074,0.95242,0.64089,0.64089,0.94,-1.0,0.470925,0.169965,0.265201,20,0,0,0.64089,0,0,SUCCESS
pair_016,524,866,524,866,0.0,1,0.83693,0.66441,0.164523,0.969147,0.694388,0.694388,1.06,2.0,0.49574,0.198648,0.286076,20,0,0,0.694388,0,0,SUCCESS
pair_017,809,410,809,410,0.0,1,0.785076,0.558685,0.146963,0.957343,0.646629,0.646629,0.94,2.0,0.510012,0.136617,0.211275,20,0,0,0.646629,0,0,SUCCESS
pair_018,466,167,466,167,0.0,1,0.788215,0.62833,0.161095,0.948239,0.662819,0.615468,0.945,-1.0,0.576496,0.038971,0.06332,20,1,8,0.627468,1,0,SUCCESS
pair_019,193,841,193,841,0.0,1,0.786283,0.539167,0.141567,0.933586,0.637377,0.637377,0.92,1.0,0.574903,0.062474,0.098017,20,0,0,0.637377,0,0,SUCCESS
pair_020,764,317,764,316,1.0,1,0.74904,0.457581,0.141351,0.930053,0.605413,0.605413,1.08,0.0,0.4846,0.120813,0.199555,20,0,0,0.605413,0,0,SUCCESS
pair_021,880,12,880,12,0.0,1,0.720135,0.545925,0.146561,0.873595,0.60127,0.60127,0.98,0.0,0.427288,0.173983,0.289359,20,0,0,0.60127,0,0,SUCCESS
pair_022,545,164,544,164,1.0,1,0.743045,0.431129,0.134889,0.971898,0.604801,0.604801,1.02,-1.0,0.473118,0.131683,0.217729,20,0,0,0.604801,0,0,SUCCESS
pair_023,206,244,206,244,0.0,1,0.799291,0.516056,0.140994,0.966964,0.644519,0.644519,0.98,2.0,0.474911,0.169608,0.263155,20,0,0,0.644519,0,0,SUCCESS
pair_024,615,209,614,208,1.4142,1,0.708975,0.457983,0.147777,0.954442,0.59563,0.59563,1.06,-1.0,0.479335,0.116295,0.195247,20,0,0,0.59563,0,0,SUCCESS
pair_025,646,204,646,204,0.0,1,0.785362,0.642695,0.16525,0.922273,0.660188,0.660188,1.0,-1.0,0.464537,0.195652,0.296358,20,0,0,0.660188,0,0,SUCCESS
pair_026,622,830,622,830,0.0,1,0.817931,0.587686,0.147224,0.948152,0.663785,0.663785,1.04,1.0,0.48418,0.179604,0.270576,20,0,0,0.663785,0,0,SUCCESS
pair_027,388,190,387,190,1.0,1,0.701607,0.461553,0.144069,0.946295,0.591026,0.591026,1.02,1.0,0.534454,0.056572,0.095719,20,0,0,0.591026,0,0,SUCCESS
